apiname,difficulty,herotype,alttype,resource,rangetype,damage,toughness,control,mobility,utility,style,adaptivetype,hp_base,hp_lvl,mp_base,mp_lvl,arm_base,arm_lvl,mr_base,mr_lvl,hp5_base,hp5_lvl,mp5_base,mp5_lvl,dam_base,dam_lvl,as_base,as_lvl,range,ms,selection_height,selection_radius,pathing_radius,as_ratio,Jungle,Middle,Top,Support,Bottom,Skirmisher,Diver,Enchanter,Battlemage,Marksman,Assassin,Catcher,Vanguard,Juggernaut,Artillery,Burst,Specialist,Warden
Aatrox,2,Fighter,Tank,Blood Well,Melee,3,3,2,2,2,20,Physical,650,114.0,0,0.0,38.0,4.8,32.0,2.05,3.0,0.5,0.0,0.0,60,5.0,0.651,2.5,175,345,180.0,135.0,35.0,0.651000022888183,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ahri,2,Mage,Assassin,Mana,Ranged,3,1,2,3,1,100,Magic,590,104.0,418,25.0,21.0,4.7,30.0,1.3,2.5,0.6,8.0,0.8,53,3.0,0.668,2.2,550,330,135.0,100.0,35.0,0.625,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Akali,2,Assassin,,Energy,Melee,3,1,1,3,1,65,Physical,600,119.0,200,0.0,23.0,4.7,37.0,2.05,9.0,0.9,50.0,0.0,62,3.3,0.625,3.2,125,345,138.88890075683594,100.0,30.0,0.625,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Akshan,3,Marksman,Assassin,Mana,Ranged,3,1,1,3,2,1,Physical,630,107.0,350,40.0,26.0,4.7,30.0,1.3,3.75,0.65,8.2,0.7,52,3.0,0.638,4.0,500,330,100.0,100.0,35.0,0.4,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
Alistar,1,Tank,Support,Mana,Melee,1,3,3,1,2,65,Magic,685,120.0,350,40.0,47.0,4.7,32.0,2.05,8.5,0.85,8.5,0.8,62,3.75,0.625,2.125,125,330,170.0,140.0,50.0,0.625,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Ambessa,3,Fighter,Assassin,Energy,Melee,3,2,1,3,1,55,Physical,630,110.0,200,0.0,35.0,4.9,32.0,2.05,8.5,0.75,50.0,0.0,63,3.0,0.625,2.5,125,335,100.0,100.0,35.0,0.625,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Amumu,1,Tank,Support,Mana,Melee,2,3,3,1,1,90,Magic,685,94.0,285,40.0,33.0,4.0,32.0,2.05,9.0,0.85,7.4,0.55,57,3.8,0.736,2.18,125,335,130.0,100.0,30.0,0.638000011444091,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anivia,3,Mage,Support,Mana,Ranged,3,1,3,1,2,100,Magic,550,92.0,495,45.0,21.0,4.5,30.0,1.3,5.5,0.55,8.0,0.8,51,3.2,0.658,1.68,600,325,140.0,140.0,35.0,0.625,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Annie,1,Mage,Support,Mana,Ranged,3,1,3,1,2,100,Magic,560,102.0,418,25.0,19.0,4.7,30.0,1.3,5.5,0.55,8.0,0.8,50,2.65,0.61,1.36,625,335,85.0,100.0,30.0,0.625,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Aphelios,3,Marksman,,Mana,Ranged,3,1,2,1,1,20,Physical,600,102.0,348,42.0,26.0,4.2,30.0,1.3,3.25,0.55,6.5,0.4,55,2.3,0.64,2.1,550,325,140.0,110.0,35.0,0.6399999856948853,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Ashe,1,Marksman,Support,Mana,Ranged,2,1,3,1,2,20,Physical,610,101.0,280,35.0,26.0,4.6,30.0,1.3,3.5,0.55,7.0,0.65,59,2.95,0.658,3.33,600,325,155.0,120.0,35.0,0.657999992370605,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
AurelionSol,3,Mage,,Mana,Ranged,3,1,2,2,1,100,Magic,600,90.0,530,40.0,22.0,4.0,30.0,1.3,5.5,0.55,8.0,0.75,58,3.2,0.625,1.5,550,335,100.0,150.0,35.0,0.625,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Aurora,2,Mage,Assassin,Mana,Ranged,3,1,2,3,1,100,Magic,607,110.0,475,30.0,23.0,4.5,30.0,1.3,6.0,0.55,8.0,0.8,53,3.0,0.668,2.0,550,335,135.0,100.0,35.0,0.668,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Azir,3,Mage,Marksman,Mana,Ranged,3,1,2,2,1,45,Magic,550,119.0,320,40.0,25.0,5.0,30.0,1.3,7.0,0.75,8.0,0.8,56,3.5,0.625,6.0,525,335,302.7778015136719,120.0,35.0,0.694,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Bard,3,Support,Mage,Mana,Ranged,1,1,3,2,3,65,Magic,630,103.0,350,50.0,34.0,5.0,30.0,1.3,5.5,0.55,6.0,0.45,52,3.0,0.658,2.0,500,330,302.7778015136719,130.0,35.0,0.658,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Belveth,2,Fighter,,,Melee,3,1,2,3,1,0,Physical,610,99.0,0,0.0,32.0,4.7,32.0,2.05,6.0,0.6,0.0,0.0,60,1.5,0.85,0.0,150,340,110.0,120.0,35.0,0.85,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Blitzcrank,1,Tank,Support,Mana,Melee,1,2,3,1,1,90,Magic,600,109.0,267,40.0,37.0,4.7,32.0,2.05,7.5,0.75,8.5,0.8,62,3.5,0.625,1.13,125,325,170.0,140.0,50.0,0.625,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Brand,2,Mage,Support,Mana,Ranged,3,1,2,1,1,100,Magic,570,105.0,469,21.0,27.0,4.2,30.0,1.3,5.5,0.55,9.0,0.6,57,3.0,0.681,2.0,550,340,302.7778015136719,120.0,35.0,0.625,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Braum,2,Tank,Support,Mana,Melee,1,2,3,1,2,90,Magic,610,112.0,311,45.0,47.0,5.2,32.0,2.05,8.5,1.0,7.0,0.8,55,3.2,0.644,3.5,125,335,122.0,130.0,50.0,0.643999993801116,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Briar,2,Fighter,Assassin,Frenzy,Melee,2,2,3,3,1,10,Physical,625,95.0,0,0.0,30.0,4.2,32.0,2.05,0.0,0.0,0.0,0.0,60,3.0,0.644,2.0,125,340,191.6667022705078,120.0,35.0,0.669,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Caitlyn,1,Marksman,,Mana,Ranged,3,1,2,2,1,10,Physical,580,107.0,315,40.0,27.0,4.7,30.0,1.3,3.5,0.55,7.4,0.7,60,3.8,0.681,4.0,650,325,155.0,120.0,35.0,0.625,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Camille,3,Fighter,Assassin,Mana,Melee,3,2,2,3,1,40,Physical,650,99.0,339,52.0,35.0,5.0,32.0,2.05,8.5,0.8,8.15,0.75,68,3.8,0.644,2.5,125,340,280.0,100.0,35.0,0.643999993801116,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Cassiopeia,3,Mage,,Mana,Ranged,3,1,3,1,1,100,Magic,630,104.0,400,40.0,18.0,4.7,32.0,1.3,5.5,0.5,8.0,0.8,53,3.0,0.647,1.5,550,328,120.0,120.0,35.0,0.647000014781951,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Chogath,1,Tank,Mage,Mana,Melee,2,3,2,1,1,65,Magic,644,94.0,270,60.0,38.0,5.0,32.0,2.05,9.0,0.85,7.2,0.45,69,4.2,0.625,1.44,125,345,150.0,130.0,50.0,0.625,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Corki,2,Marksman,Mage,Mana,Ranged,3,1,1,2,1,45,Physical,610,100.0,350,40.0,30.0,4.5,30.0,1.3,5.5,0.55,7.4,0.7,52,2.0,0.644,2.8,550,325,170.0,135.0,35.0,0.644,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Darius,2,Fighter,Tank,Mana,Melee,3,2,2,1,1,55,Physical,652,114.0,263,58.0,39.0,5.2,32.0,2.05,10.0,0.95,6.6,0.35,64,5.0,0.625,1.0,175,340,155.0,120.0,25.7665996551513,0.625,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Diana,1,Fighter,Assassin,Mana,Melee,3,2,2,2,1,65,Magic,640,109.0,375,25.0,31.0,4.3,32.0,2.05,6.5,0.85,8.0,0.8,57,3.0,0.625,2.0,150,345,188.88890075683594,120.0,35.0,0.694,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
DrMundo,1,Tank,Fighter,Health,Melee,2,3,1,1,1,55,Physical,613,103.0,0,0.0,32.0,3.7,29.0,2.3,7.0,0.5,0.0,0.0,61,2.5,0.67,3.3,125,345,175.0,135.0,50.0,0.625,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Draven,2,Marksman,,Mana,Ranged,3,1,1,2,1,10,Physical,675,104.0,361,39.0,29.0,4.5,30.0,1.3,3.75,0.7,8.05,0.65,62,3.6,0.679,2.7,550,330,191.6667022705078,111.111099243164,35.0,0.67900002002716,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Ekko,3,Assassin,Mage,Mana,Melee,3,2,2,3,1,75,Magic,655,99.0,280,70.0,32.0,4.2,32.0,2.05,9.0,0.9,7.0,0.8,58,3.0,0.688,3.3,125,340,155.0,120.0,35.0,0.625,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Elise,2,Assassin,Mage,Mana,Ranged,2,2,2,2,1,65,Magic,620,109.0,324,50.0,30.0,4.5,30.0,1.3,5.5,0.6,6.0,0.8,55,3.0,0.625,1.75,550,330,145.0,120.0,35.0,0.625,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Evelynn,2,Assassin,Mage,Mana,Melee,2,2,1,2,2,75,Magic,642,98.0,315,42.0,37.0,4.7,32.0,2.05,8.5,0.75,8.11,0.6,61,3.0,0.667,2.1,125,335,110.0,120.0,35.0,0.666999995708465,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Ezreal,1,Marksman,Mage,Mana,Ranged,3,1,1,3,1,45,Physical,600,102.0,375,70.0,24.0,4.7,30.0,1.3,4.0,0.65,8.5,1.0,60,2.75,0.625,2.5,550,325,170.0,115.0,35.0,0.625,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Fiddlesticks,2,Mage,Support,Mana,Ranged,3,1,3,1,1,100,Magic,650,106.0,500,28.0,34.0,4.7,30.0,1.3,5.5,0.6,8.0,0.8,55,2.65,0.625,2.11,480,335,170.0,135.0,35.0,0.625,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Fiora,2,Fighter,Assassin,Mana,Melee,3,2,2,2,2,20,Physical,620,99.0,300,60.0,33.0,4.7,32.0,2.05,8.5,0.55,8.0,0.7,66,3.3,0.69,3.2,150,345,100.0,100.0,35.0,0.689999997615814,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Fizz,2,Assassin,Fighter,Mana,Melee,3,1,2,3,1,90,Magic,640,106.0,317,52.0,22.0,4.6,32.0,2.05,8.0,0.7,6.0,0.8,58,3.0,0.658,3.1,175,335,138.88890075683594,108.333297729492,30.0,0.657999992370605,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Galio,2,Tank,Mage,Mana,Melee,2,3,3,2,1,100,Magic,600,126.0,410,40.0,24.0,4.7,32.0,2.05,8.0,0.8,9.5,0.7,59,3.5,0.625,1.5,150,340,180.0,125.0,50.0,0.625,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Gangplank,3,Fighter,,Mana,Melee,3,1,1,1,2,75,Physical,630,114.0,280,60.0,31.0,4.7,32.0,2.05,6.0,0.6,8.0,0.7,64,3.7,0.658,3.2,125,345,145.0,120.0,35.0,0.69,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Garen,1,Fighter,Tank,,Melee,2,3,1,1,1,75,Physical,690,98.0,0,0.0,38.0,4.2,32.0,1.55,8.0,0.5,0.0,0.0,69,4.5,0.625,3.65,175,340,188.88890075683594,120.0,35.0,0.625,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Gnar,3,Fighter,Tank,Rage,Ranged,2,1,1,2,1,45,Physical,540,79.0,100,0.0,32.0,3.7,30.0,1.3,4.5,1.25,0.0,0.0,60,3.2,0.625,6.0,400,335,85.0,100.0,30.0,0.625,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
